,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Penalties_Saved,Red_Cards,Saves,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Penalties_Saved,Running_Red_Cards,Running_Saves,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
0,0,0,0.01,0.0,1.5,1,0,90,0,0,0,0,1,2,0,Jordan,Pikford,3,0.0,-0.01,0.5,0.0,0.0,0.0,0.01,0.0,1.5,1.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,-0.01,0.5,0.0
1,0,0,0.0,0.0,3.11,4,0,90,0,0,0,0,3,0,1,Jordan,Pikford,5,0.0,0.0,-0.8900000000000001,2.0,0.0,0.0,0.005,0.0,2.3049999999999997,2.5,0.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,4.0,0.0,-0.005,-0.19500000000000006,1.0
2,0,0,0.01,0.0,1.16,1,0,90,0,0,0,0,2,2,0,Jordan,Pikford,3,0.0,-0.01,0.15999999999999992,1.0,0.0,0.0,0.006666666666666667,0.0,1.9233333333333331,2.0,0.0,90.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,-0.006666666666666667,-0.07666666666666673,1.0
3,0,0,0.01,0.0,1.24,2,0,90,1,0,0,0,6,1,0,Jordan,Pikford,2,0.0,-0.01,-0.76,3.0,0.0,0.0,0.0075,0.0,1.7525,2.0,0.0,90.0,0.25,0.0,0.0,0.0,3.0,1.25,0.25,3.25,0.0,-0.0075,-0.24750000000000005,1.5
4,0,0,0.02,0.0,1.02,1,0,90,0,0,0,0,3,3,0,Jordan,Pikford,5,0.0,-0.02,0.020000000000000018,2.0,0.0,0.0,0.01,0.0,1.6324999999999998,2.0,0.0,90.0,0.25,0.0,0.0,0.0,3.5,1.5,0.25,3.75,0.0,-0.01,-0.36750000000000005,2.0
5,0,0,0.01,0.0,1.04,1,0,90,0,0,0,0,1,2,0,Jordan,Pikford,2,0.0,-0.01,0.040000000000000036,1.0,0.0,0.0,0.0125,0.0,1.115,1.25,0.0,90.0,0.25,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,-0.0125,-0.135,1.75
6,0,0,0.0,0.0,0.89,2,0,90,0,0,0,0,0,1,0,Jordan,Pikford,2,0.0,0.0,-1.1099999999999999,9.0,0.0,0.0,0.010000000000000002,0.0,1.0474999999999999,1.5,0.0,90.0,0.25,0.0,0.0,0.0,2.5,1.75,0.0,2.75,0.0,-0.010000000000000002,-0.45249999999999996,3.75
7,0,1,0.02,0.0,0.72,0,0,90,0,0,0,0,3,9,0,Jordan,Pikford,3,0.0,-0.02,0.72,2.0,0.0,0.25,0.0125,0.0,0.9175,1.0,0.0,90.0,0.0,0.0,0.0,0.0,1.75,3.75,0.0,3.0,0.0,-0.0125,-0.08249999999999996,3.5
8,0,0,0.01,0.0,2.24,2,0,90,0,0,0,0,4,2,0,Jordan,Pikford,5,0.0,-0.01,0.2400000000000002,5.0,0.0,0.25,0.01,0.0,1.2225000000000001,1.25,0.0,90.0,0.0,0.0,0.0,0.0,2.0,3.5,0.0,3.0,0.0,-0.01,-0.027499999999999913,4.25
9,0,1,0.01,0.0,0.66,0,0,90,0,0,0,0,2,5,1,Jordan,Pikford,4,0.0,-0.01,0.66,2.0,0.0,0.5,0.009999999999999998,0.0,1.1275,1.0,0.0,90.0,0.0,0.0,0.0,0.0,2.25,4.25,0.25,3.5,0.0,-0.009999999999999998,0.12750000000000009,4.5
10,0,0,0.02,0.0,0.53,1,0,90,0,0,0,0,2,2,0,Jordan,Pikford,3,0.0,-0.02,-0.47,2.0,0.0,0.5,0.015,0.0,1.0375,0.75,0.0,90.0,0.0,0.0,0.0,0.0,2.75,4.5,0.25,3.75,0.0,-0.015,0.28750000000000003,2.75
11,0,0,0.0,0.0,2.24,2,0,90,0,0,0,0,3,2,0,Jordan,Pikford,4,0.0,0.0,0.2400000000000002,1.0,0.0,0.25,0.01,0.0,1.4175,1.25,0.0,90.0,0.0,0.0,0.0,0.0,2.75,2.75,0.25,4.0,0.0,-0.01,0.1675000000000001,2.5
12,0,0,0.0,0.0,2.18,3,0,90,0,0,0,0,1,1,0,Jordan,Pikford,4,0.0,0.0,-0.8199999999999998,7.0,0.0,0.25,0.0075,0.0,1.4025,1.5,0.0,90.0,0.0,0.0,0.0,0.0,2.0,2.5,0.25,3.75,0.0,-0.0075,-0.09749999999999992,3.0
13,0,1,0.01,0.0,0.71,0,0,90,0,0,0,0,2,7,0,Jordan,Pikford,2,0.0,-0.01,0.71,7.0,0.0,0.25,0.0075,0.0,1.415,1.5,0.0,90.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.25,0.0,-0.0075,-0.08499999999999996,4.25
14,0,1,0.02,0.0,1.58,0,0,90,0,0,0,0,3,7,0,Jordan,Pikford,4,0.0,-0.02,1.58,10.0,0.0,0.5,0.007500000000000001,0.0,1.6775,1.25,0.0,90.0,0.0,0.0,0.0,0.0,2.25,4.25,0.0,3.5,0.0,-0.007500000000000001,0.4275000000000001,6.25
15,0,1,0.0,0.0,0.93,0,0,90,0,0,0,0,4,10,0,Jordan,Pikford,4,0.0,0.0,0.93,6.0,0.0,0.75,0.007500000000000001,0.0,1.35,0.75,0.0,90.0,0.0,0.0,0.0,0.0,2.5,6.25,0.0,3.5,0.0,-0.007500000000000001,0.6000000000000001,7.5
16,0,1,0.05,0.0,0.77,0,0,90,0,0,0,0,2,6,0,Jordan,Pikford,2,0.0,-0.05,0.77,2.0,0.0,1.0,0.02,0.0,0.9975,0.0,0.0,90.0,0.0,0.0,0.0,0.0,2.75,7.5,0.0,3.0,0.0,-0.02,0.9975,6.25
17,0,0,0.01,0.0,1.34,2,0,90,0,0,0,0,4,2,0,Jordan,Pikford,5,0.0,-0.01,-0.6599999999999999,2.0,0.0,0.75,0.02,0.0,1.155,0.5,0.0,90.0,0.0,0.0,0.0,0.0,3.25,6.25,0.0,3.75,0.0,-0.02,0.655,5.0
18,0,0,0.01,0.0,2.6,3,0,90,0,0,0,0,6,2,1,Jordan,Pikford,5,0.0,-0.01,-0.3999999999999999,2.0,0.0,0.5,0.0175,0.0,1.4100000000000001,1.25,0.0,90.0,0.0,0.0,0.0,0.0,4.0,5.0,0.25,4.0,0.0,-0.0175,0.16000000000000006,3.0
19,0,0,0.0,0.0,2.06,3,0,90,0,0,0,0,4,2,0,Jordan,Pikford,3,0.0,0.0,-0.94,9.0,0.0,0.25,0.0175,0.0,1.6925000000000001,2.0,0.0,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.25,3.75,0.0,-0.0175,-0.30749999999999994,3.75
20,0,1,0.01,0.0,1.11,0,0,90,0,0,0,0,4,9,0,Jordan,Pikford,5,0.0,-0.01,1.11,10.0,0.0,0.25,0.0075,0.0,1.7775,2.0,0.0,90.0,0.0,0.0,0.0,0.0,4.5,3.75,0.25,4.5,0.0,-0.0075,-0.22249999999999992,5.75
21,0,1,0.01,0.0,1.71,0,0,90,0,0,0,0,5,10,0,Jordan,Pikford,3,0.0,-0.01,1.71,2.0,0.0,0.5,0.0075,0.0,1.87,1.5,0.0,90.0,0.0,0.0,0.0,0.0,4.75,5.75,0.25,4.0,0.0,-0.0075,0.37000000000000005,5.75
22,0,0,0.02,0.0,0.98,2,0,90,0,0,0,0,4,2,0,Jordan,Pikford,5,0.0,-0.02,-1.02,1.0,0.0,0.5,0.01,0.0,1.465,1.25,0.0,90.0,0.0,0.0,0.0,0.0,4.25,5.75,0.0,4.0,0.0,-0.01,0.21500000000000002,5.5
23,0,0,0.0,0.0,1.63,2,0,90,0,0,0,0,1,1,0,Jordan,Pikford,5,0.0,0.0,-0.3700000000000001,3.0,0.0,0.5,0.01,0.0,1.3575,1.0,0.0,90.0,0.0,0.0,0.0,0.0,3.5,5.5,0.0,4.5,0.0,-0.01,0.3575,4.0
24,0,0,0.03,0.0,0.62,1,0,90,0,0,0,0,2,3,0,Jordan,Pikford,4,0.0,-0.03,-0.38,4.0,0.0,0.25,0.015,0.0,1.2349999999999999,1.25,0.0,90.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.25,0.0,-0.015,-0.015000000000000041,2.5
25,0,0,0.01,0.0,1.25,1,0,90,0,0,0,0,6,4,0,Jordan,Pikford,3,0.0,-0.01,0.25,0.0,0.0,0.0,0.015000000000000001,0.0,1.1199999999999999,1.5,0.0,90.0,0.0,0.0,0.0,0.0,3.25,2.5,0.0,4.25,0.0,-0.015000000000000001,-0.38,2.0
26,0,0,0.01,0.0,1.87,3,0,90,0,0,0,0,2,0,1,Jordan,Pikford,4,0.0,-0.01,-1.13,3.0,0.0,0.0,0.0125,0.0,1.3425,1.75,0.0,90.0,0.0,0.0,0.0,0.0,2.75,2.0,0.25,4.0,0.0,-0.0125,-0.4075,2.5
27,0,0,0.03,0.0,2.56,2,0,90,0,0,0,0,6,3,0,Jordan,Pikford,4,0.0,-0.03,0.56,2.0,0.0,0.0,0.02,0.0,1.5750000000000002,1.75,0.0,90.0,0.0,0.0,0.0,0.0,4.0,2.5,0.25,3.75,0.0,-0.02,-0.17499999999999993,2.25
28,0,0,0.02,0.0,1.56,2,0,90,0,0,0,0,3,2,0,Jordan,Pikford,3,0.0,-0.02,-0.43999999999999995,3.0,0.0,0.0,0.0175,0.0,1.81,2.0,0.0,90.0,0.0,0.0,0.0,0.0,4.25,2.25,0.25,3.5,0.0,-0.0175,-0.18999999999999992,2.0
29,0,0,0.04,0.0,2.54,1,0,90,0,0,0,0,4,3,0,Jordan,Pikford,4,0.0,-0.04,1.54,8.0,0.0,0.0,0.025,0.0,2.1325000000000003,2.0,0.0,90.0,0.0,0.0,0.0,0.0,3.75,2.0,0.25,3.75,0.0,-0.025,0.13250000000000006,4.0
30,0,1,0.01,0.0,0.46,0,0,90,0,0,0,0,1,8,0,Jordan,Pikford,2,0.0,-0.01,0.46,0.0,0.0,0.25,0.025,0.0,1.78,1.25,0.0,90.0,0.0,0.0,0.0,0.0,3.5,4.0,0.0,3.25,0.0,-0.025,0.53,3.25
31,0,0,0.0,0.0,2.96,6,0,90,0,0,0,0,4,0,0,Jordan,Pikford,4,0.0,0.0,-3.04,8.0,0.0,0.25,0.0175,0.0,1.8800000000000001,2.25,0.0,90.0,0.0,0.0,0.0,0.0,3.0,3.25,0.0,3.25,0.0,-0.0175,-0.37,4.75
32,0,1,0.01,0.0,0.85,0,0,90,0,0,0,0,3,8,0,Jordan,Pikford,2,0.0,-0.01,0.85,10.0,0.0,0.5,0.015,0.0,1.7025,1.75,0.0,90.0,0.0,0.0,0.0,0.0,3.0,4.75,0.0,3.0,0.0,-0.015,-0.047500000000000014,6.5
33,0,1,0.01,0.0,2.06,0,0,90,0,0,0,0,7,10,0,Jordan,Pikford,5,0.0,-0.01,2.06,10.0,0.0,0.75,0.0075,0.0,1.5825,1.5,0.0,90.0,0.0,0.0,0.0,0.0,3.75,6.5,0.0,3.25,0.0,-0.0075,0.08250000000000002,7.0
34,0,1,0.01,0.0,0.84,0,0,90,0,0,0,0,4,10,0,Jordan,Pikford,2,0.0,-0.01,0.84,3.0,0.0,0.75,0.0075,0.0,1.6775,1.5,0.0,90.0,0.0,0.0,0.0,0.0,4.5,7.0,0.0,3.25,0.0,-0.0075,0.1775,7.75
35,0,0,0.01,0.0,0.96,1,0,90,0,0,0,0,4,3,0,Jordan,Pikford,2,0.0,-0.01,-0.040000000000000036,8.0,0.0,0.75,0.01,0.0,1.1775,0.25,0.0,90.0,0.0,0.0,0.0,0.0,4.5,7.75,0.0,2.75,0.0,-0.01,0.9275,7.75
36,0,1,0.0,0.0,0.64,0,0,90,0,0,0,0,1,8,0,Jordan,Pikford,2,0.0,0.0,0.64,1.0,0.0,0.75,0.0075,0.0,1.125,0.25,0.0,90.0,0.0,0.0,0.0,0.0,4.0,7.75,0.0,2.75,0.0,-0.0075,0.875,5.5
37,0,0,0.01,0.0,2.89,2,0,90,0,0,0,0,4,1,1,Jordan,Pikford,5,0.0,-0.01,0.8900000000000001,,0.0,0.5,0.0075,0.0,1.3325,0.75,0.0,90.0,0.0,0.0,0.0,0.0,3.25,5.5,0.25,2.75,0.0,-0.0075,0.5825,4.0
0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,4,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
