,Assists,xA,xG,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Red_Cards,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Next_Points,Running_Assists,Running_xA,Running_xG,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Red_Cards,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Next_Points
0,0,0.02,0.76,2,67,0,0,0,13,0,Alexander,Isak,5,1.24,-0.02,2.0,0.0,0.02,0.76,2.0,67.0,0.0,0.0,0.0,13.0,0.0,5.0,1.24,-0.02,2.0
1,0,0.02,0.0,0,65,0,0,0,2,0,Alexander,Isak,5,0.0,-0.02,2.0,0.0,0.02,0.38,1.0,66.0,0.0,0.0,0.0,7.5,0.0,5.0,0.62,-0.02,2.0
2,0,0.02,0.16,0,71,0,0,0,2,0,Alexander,Isak,5,-0.16,-0.02,2.0,0.0,0.02,0.3066666666666667,0.6666666666666666,67.66666666666667,0.0,0.0,0.0,5.666666666666667,0.0,5.0,0.36000000000000004,-0.02,2.0
3,0,0.03,0.48,0,73,0,0,0,2,0,Alexander,Isak,3,-0.48,-0.03,0.0,0.0,0.0225,0.35,0.5,69.0,0.0,0.0,0.0,4.75,0.0,4.5,0.15,-0.0225,1.5
4,0,0.0,0.0,0,0,0,0,0,0,0,Alexander,Isak,2,0.0,0.0,5.0,0.0,0.017499999999999998,0.16,0.0,52.25,0.0,0.0,0.0,1.5,0.0,3.75,-0.16,-0.017499999999999998,2.25
5,0,0.02,0.61,1,20,0,0,0,5,0,Alexander,Isak,2,0.39,-0.02,6.0,0.0,0.0175,0.3125,0.25,41.0,0.0,0.0,0.0,2.25,0.0,3.0,-0.0625,-0.0175,3.25
6,0,0.03,1.83,1,90,0,0,0,6,0,Alexander,Isak,2,-0.8300000000000001,-0.03,13.0,0.0,0.019999999999999997,0.73,0.5,45.75,0.0,0.0,0.0,3.25,0.0,2.25,-0.23,-0.019999999999999997,6.0
7,0,0.01,1.6,2,85,0,0,0,13,0,Alexander,Isak,4,0.3999999999999999,-0.01,1.0,0.0,0.015,1.01,1.0,48.75,0.0,0.0,0.0,6.0,0.0,2.5,-0.010000000000000037,-0.015,6.25
8,0,0.0,0.0,0,20,0,0,0,1,0,Alexander,Isak,4,0.0,0.0,0.0,0.0,0.015,1.01,1.0,53.75,0.0,0.0,0.0,6.25,0.0,3.0,-0.010000000000000037,-0.015,5.0
9,0,0.0,0.0,0,0,0,0,0,0,0,Alexander,Isak,3,0.0,0.0,0.0,0.0,0.01,0.8574999999999999,0.75,48.75,0.0,0.0,0.0,5.0,0.0,3.25,-0.10750000000000004,-0.01,3.5
10,0,0.0,0.0,0,0,0,0,0,0,0,Alexander,Isak,5,0.0,0.0,0.0,0.0,0.0025,0.4,0.5,26.25,0.0,0.0,0.0,3.5,0.0,4.0,0.09999999999999998,-0.0025,0.25
11,0,0.0,0.0,0,0,0,0,0,0,0,Alexander,Isak,3,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.25,0.0,3.75,0.0,0.0,2.0
12,0,0.01,0.64,1,80,0,0,0,8,0,Alexander,Isak,4,0.36,-0.01,2.0,0.0,0.0025,0.16,0.25,20.0,0.0,0.0,0.0,2.0,0.0,3.75,0.09,-0.0025,2.5
13,0,0.64,0.34,0,90,0,0,0,2,0,Alexander,Isak,4,-0.34,-0.64,2.0,0.0,0.1625,0.245,0.25,42.5,0.0,0.0,0.0,2.5,0.0,4.0,0.0049999999999999906,-0.1625,3.0
14,0,0.01,0.45,0,90,0,0,0,2,0,Alexander,Isak,3,-0.45,-0.01,2.0,0.0,0.165,0.35750000000000004,0.25,65.0,0.0,0.0,0.0,3.0,0.0,3.5,-0.10750000000000001,-0.165,3.5
15,0,0.06,0.77,0,63,0,0,0,2,0,Alexander,Isak,5,-0.77,-0.06,0.0,0.0,0.18,0.55,0.25,80.75,0.0,0.0,0.0,3.5,0.0,4.0,-0.30000000000000004,-0.18,1.5
16,0,0.0,0.0,0,0,0,0,0,0,0,Alexander,Isak,3,0.0,0.0,1.0,0.0,0.1775,0.39,0.0,60.75,0.0,0.0,0.0,1.5,0.0,3.75,-0.39,-0.1775,1.25
