,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Red_Cards,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Red_Cards,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
0,0,0,0.1,0.56,1.5,1,0,90,0,0,0,2,0,Abdoulaye,Doucoure,3,-0.56,-0.1,0.5,2.0,0.0,0.0,0.1,0.56,1.5,1.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,3.0,-0.56,-0.1,0.5,2.0
1,0,0,0.03,0.09,3.11,4,0,90,0,0,0,2,0,Abdoulaye,Doucoure,5,-0.09,-0.03,-0.8900000000000001,2.0,0.0,0.0,0.065,0.325,2.3049999999999997,2.5,0.0,90.0,0.0,0.0,0.0,2.0,0.0,4.0,-0.325,-0.065,-0.19500000000000006,2.0
2,0,0,0.1,0.21,1.16,1,0,90,0,0,0,2,0,Abdoulaye,Doucoure,3,-0.21,-0.1,0.15999999999999992,8.0,0.0,0.0,0.07666666666666667,0.2866666666666667,1.9233333333333331,2.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,3.6666666666666665,-0.2866666666666667,-0.07666666666666667,-0.07666666666666673,4.0
3,0,0,0.03,1.07,1.24,2,1,90,0,0,0,8,1,Abdoulaye,Doucoure,2,-0.07000000000000006,-0.03,-0.76,2.0,0.0,0.0,0.065,0.48250000000000004,1.7525,2.0,0.25,90.0,0.0,0.0,0.0,3.5,0.25,3.25,-0.23250000000000004,-0.065,-0.24750000000000005,3.5
4,0,0,0.0,0.0,1.02,1,0,79,0,0,0,2,0,Abdoulaye,Doucoure,5,0.0,0.0,0.020000000000000018,7.0,0.0,0.0,0.04,0.3425,1.6324999999999998,2.0,0.25,87.25,0.0,0.0,0.0,3.5,0.25,3.75,-0.09250000000000001,-0.04,-0.36750000000000005,4.75
5,0,0,0.05,0.12,1.04,1,1,90,0,0,0,7,0,Abdoulaye,Doucoure,2,0.88,-0.05,0.040000000000000036,4.0,0.0,0.0,0.045,0.35,1.115,1.25,0.5,87.25,0.0,0.0,0.0,4.75,0.25,3.0,0.15,-0.045,-0.135,5.25
6,1,0,0.2,0.37,0.89,2,0,59,0,0,0,4,0,Abdoulaye,Doucoure,2,-0.37,0.8,-1.1099999999999999,8.0,0.25,0.0,0.07,0.39,1.0474999999999999,1.5,0.5,79.5,0.0,0.0,0.0,5.25,0.25,2.75,0.10999999999999999,0.18000000000000002,-0.45249999999999996,5.25
7,0,1,0.22,1.14,0.72,0,1,90,0,0,0,8,0,Abdoulaye,Doucoure,3,-0.1399999999999999,-0.22,0.72,2.0,0.25,0.25,0.1175,0.4075,0.9175,1.0,0.5,79.5,0.0,0.0,0.0,5.25,0.0,3.0,0.09250000000000003,0.13250000000000003,-0.08249999999999996,5.25
8,0,0,0.0,0.0,2.24,2,0,90,0,0,0,2,0,Abdoulaye,Doucoure,5,0.0,0.0,0.2400000000000002,3.0,0.25,0.25,0.1175,0.4075,1.2225000000000001,1.25,0.5,82.25,0.0,0.0,0.0,5.25,0.0,3.0,0.09250000000000003,0.13250000000000003,-0.027499999999999913,4.25
9,0,1,0.01,0.19,0.66,0,0,90,0,0,0,3,0,Abdoulaye,Doucoure,4,-0.19,-0.01,0.66,1.0,0.25,0.5,0.1075,0.42499999999999993,1.1275,1.0,0.25,82.25,0.0,0.0,0.0,4.25,0.0,3.5,-0.175,0.14250000000000002,0.12750000000000009,3.5
